% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.65    0.028716        7179         4           read
 28.47    0.012646        3161         4           write
  3.54    0.001571         523         3           munmap
  1.98    0.000880         880         1           execve
  0.56    0.000247          24        10           mmap
  0.20    0.000088          29         3           mprotect
  0.18    0.000079          19         4           openat
  0.09    0.000041          13         3           brk
  0.07    0.000033           6         5           fstat
  0.06    0.000028           7         4           close
  0.05    0.000020          10         2           pread64
  0.04    0.000016          16         1         1 access
  0.02    0.000011          11         1           arch_prctl
  0.02    0.000011          11         1           getrandom
  0.02    0.000010          10         1           prlimit64
  0.02    0.000008           8         1           set_tid_address
  0.02    0.000008           8         1           set_robust_list
  0.02    0.000008           8         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.044421         888        50         1 total
