% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 62.72    0.022129        5532         4           read
 32.84    0.011588        2897         4           write
  2.93    0.001034         344         3           munmap
  0.85    0.000300         300         1           execve
  0.29    0.000103          10        10           mmap
  0.09    0.000033           8         4           openat
  0.07    0.000025           8         3           mprotect
  0.04    0.000014           4         3           brk
  0.04    0.000013           3         4           close
  0.03    0.000012           2         5           fstat
  0.02    0.000007           3         2           pread64
  0.01    0.000005           5         1         1 access
  0.01    0.000004           4         1           arch_prctl
  0.01    0.000004           4         1           prlimit64
  0.01    0.000004           4         1           getrandom
  0.01    0.000003           3         1           set_tid_address
  0.01    0.000003           3         1           set_robust_list
  0.01    0.000003           3         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.035284         705        50         1 total
