% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.95    0.017810        4452         4           read
 39.11    0.012678        3169         4           write
  4.52    0.001464         488         3           munmap
  0.94    0.000306         306         1           execve
  0.21    0.000068           6        10           mmap
  0.07    0.000023           5         4           openat
  0.04    0.000013           4         3           mprotect
  0.04    0.000012           4         3           brk
  0.03    0.000010           2         4           close
  0.02    0.000008           1         5           fstat
  0.02    0.000006           6         1         1 access
  0.01    0.000004           2         2           pread64
  0.01    0.000002           2         1           arch_prctl
  0.01    0.000002           2         1           set_tid_address
  0.01    0.000002           2         1           prlimit64
  0.01    0.000002           2         1           getrandom
  0.01    0.000002           2         1           rseq
  0.00    0.000001           1         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.032413         648        50         1 total
